No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
1190,SHIP CONSTRUCTION,Roscommon,"Cluain Fraoigh, Cloonbeirne",7,*N/A,,,,,,Q1-2021
1191,SHIP CONSTRUCTION,Roscommon,"Meadowbrook, Ballyclare Td., Ballyleague",16,*N/A,,,,,,Q4-2021
1192,SHIP CONSTRUCTION,Roscommon,"Lisroyne Td., Strokestown",10,*N/A,,,,,,Q4-2021
1193,SHIP CONSTRUCTION,Roscommon,"Windmill Road, Elphin Road",10,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
1194,SHIP CONSTRUCTION,Roscommon,"Lakeview Heights, Bellspark Td., Boyle",6,*N/A,,,,,Q2-2022,
1195,SHIP CONSTRUCTION,Roscommon,"Lisnamult, Ardnanagh Td., Roscommon Town",13,*N/A,,,"Stage 3 approved Q2-2022, the scheme is now approved to proceed to tender.",,,
1196,SHIP CONSTRUCTION,Roscommon,"Station Rd., Cortober, Ck on Shannon, Co Roscommon",4,N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1197,SHIP CONSTRUCTION,Roscommon,"Curlew View, Boyle, Co Roscommon",14,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1198,CALF Turnkey,Roscommon,"Monksland, Athlone, Co. Roscommon (Phase 1)*",35,Tuath Housing Association,,,,,Q4-2019,
1199,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Roscommon,"The Walk, Roscommon Town",53,*N/A,,,,,,Q2-2021
1200,SHIP CONSTRUCTION TURNKEY,Sligo,"Seaville, Ursuline Convent",12,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1201,SHIP CONSTRUCTION TURNKEY,Sligo,"Seaville, Ursuline Convent",15,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1202,SHIP CONSTRUCTION TURNKEY,Sligo,"Seaville, Ursuline Convent",26,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1203,SHIP CONSTRUCTION TURNKEY,Sligo,"Seaville, Ursuline Convent",13,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1204,SHIP CONSTRUCTION,Sligo,"Connolly Park, Tubbercurry (Phase 1)",10,*N/A,,,,,,Q4-2021
1205,SHIP CONSTRUCTION,Sligo,Dromore West ,10,*N/A,,,,,,Q4-2021
1206,SHIP CONSTRUCTION,Sligo,"Robbers' Lane, Maugheraboy, Sligo",62,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,
1207,SHIP CONSTRUCTION,Sligo,"SRD at Crowagh, Dromore West",1,*N/A,,,,,,Q4-2021
1208,SHIP CONSTRUCTION,Sligo,"Gormley Park, Bunnanadden",6,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1209,SHIP CONSTRUCTION,Sligo,"Connolly Park, Tubbercurry (Phase 2) & The Green Rd,",19,*N/A,,,,,Q2-2022,
1210,SHIP CONSTRUCTION,Sligo,"Geldof Drive & Centre Park, Cranmore, Sligo",30,*N/A,"Stage 1 approved Q4-2020, outline design and costs being prepared.",,,,,
1211,CAS CONSTRUCTION TURNKEY,Sligo,"Avena, Ballisodare, Co Sligo",6,Túath Housing Association Ltd,,,,,,Q1-2022
1212,CAS CONSTRUCTION,Sligo,"Killeshin, First Sea Road, Sligo",5,Newgrove Housing Association Ltd,,,,,Q4-2020,
1213,CAS CONSTRUCTION,Sligo,"Summerhill, Tubbercurry, Co Sligo",6,Sophia Housing Association Ltd,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
1214,PUBLIC PRIVATE PARTNERSHIP (Bundle 3),Sligo,"Rathellen, Finisklin, Co. Sligo",63,*N/A,,Q4-2021,,,,
1215,SHIP DIALOG,South Dublin,Kilcarbery JV Social,16,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1216,SHIP DIALOG,South Dublin,Kilcarbery JV Social,20,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1217,SHIP DIALOG,South Dublin,Kilcarbery JV Social,8,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1218,SHIP DIALOG,South Dublin,Kilcarbery JV Social,11,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1219,SHIP DIALOG,South Dublin,Clonburris 1,89,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
1220,SHIP DIALOG,South Dublin,Clonburris 2,56,*N/A,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
1221,SHIP DIALOG,South Dublin,Kilcarbery JV Social,5,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1222,SHIP DIALOG,South Dublin,Kilcarbery JV Social,21,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1223,SHIP DIALOG,South Dublin,Kilcarbery JV Social,23,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1224,SHIP DIALOG,South Dublin,Kilcarbery JV Social,11,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1225,SHIP DIALOG,South Dublin,Kilcarbery JV Social,26,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1226,SHIP DIALOG,South Dublin,Kilcarbery JV Social,5,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1227,SHIP DIALOG,South Dublin,Kilcarbery JV Social,3,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1228,SHIP DIALOG,South Dublin,Kilcarbery JV Social,27,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1229,SHIP DIALOG,South Dublin,Kilcarbery JV Social,28,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1230,SHIP DIALOG,South Dublin,Kilcarbery JV Social,9,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1231,SHIP DIALOG,South Dublin,Kilcarbery JV Social,7,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1232,SHIP DIALOG,South Dublin,Kilcarbery JV Social,11,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1233,SHIP DIALOG,South Dublin,Kilcarbery JV Social,17,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1234,SHIP DIALOG,South Dublin,Kilcarbery JV Social,10,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1235,SHIP DIALOG,South Dublin,Kilcarbery JV Social,10,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1236,SHIP DIALOG,South Dublin,Kilcarbery JV Social,10,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1237,SHIP DIALOG,South Dublin,Kilcarbery JV Social,21,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1238,SHIP DIALOG,South Dublin,Kilcarbery JV Social,4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1239,SHIP DIALOG,South Dublin,Kilcarbery JV Social,2,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1240,SHIP DIALOG,South Dublin,Kilcarbery JV Social,5,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1241,SHIP CONSTRUCTION SINGLE STAGE,South Dublin,"37 Greenfort Gardens, Clondalkin",2,*N/A,,,,,,Q4-2021
1242,SHIP CONSTRUCTION DESIGN BUILD,South Dublin,"St. Marks Avenue, Clondalkin",38,*N/A,,,,,Q3-2020,
1243,SHIP CONSTRUCTION DESIGN BUILD,South Dublin,"Balgaddy F, Griffeen Avenue, Lucan Co. Dublin",69,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,
1244,SHIP CONSTRUCTION DESIGN BUILD,South Dublin,"Riversdale, Clondalkin, Dublin 22",25,*N/A,,,,,Q4-2020,
1245,SHIP CONSTRUCTION DESIGN BUILD,South Dublin,"Riverside Cottages, Templeogue",10,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,
1246,SHIP CONSTRUCTION DESIGN BUILD,South Dublin,"Riversdale, Clondalkin, Dublin 22",18,*N/A,,,,,Q4-2020,
1247,SHIP CONSTRUCTION DESIGN BUILD,South Dublin,"Grand Canal, Lindisfarne, Clondalkin,",19,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,
1248,SHIP CONSTRUCTION,South Dublin,"St. Catherine’s, Knockmore Avenue, Killinarden, Tallaght",12,*N/A,,,,,Q4-2020,
1249,SHIP CONSTRUCTION,South Dublin,"Homeville, Knocklyon, Dublin 16",16,*N/A,,,,,Q4-2020,
1250,SHIP CONSTRUCTION,South Dublin,"Nangor Road, Clondalkin, Dublin 22",93,*N/A,,,,,Q2-2022,
1251,CAS CONSTRUCTION TURNKEY,South Dublin,"Oakridge, Ballynakelly,Edge, Newcastle, Co. Dublin",3,Túath Housing Association Ltd,,,,,,Q2-2022
1252,CAS CONSTRUCTION TURNKEY,South Dublin,3 Cornerpark Rise,1,Arlington Novas Ireland Ltd,,,,,,Q4-2021
1253,CAS CONSTRUCTION,South Dublin,"Old Nangor Road, Clondalkin",10,Simon Community : Dublin Simon,,"Stage 2 approved Q4-2016, full design/tender being prepared.",,,,
1254,CALF Turnkey,South Dublin,"Ballynakelly Rise, Newcastle Boulevard and Graydon Park, Newcastle, County Dublin (Phase 1)*",8,Tuath Housing Association,,,,,,Q2-2022
1255,CALF Turnkey,South Dublin,"Ballynakelly Rise, Newcastle Boulevard and Graydon Park, Newcastle, County Dublin (Phase 2)*",8,Tuath Housing Association,,,,,Q1-2020,
1256,CALF Turnkey,South Dublin,"Citywest Quarter, Citywest, Dublin 24 (Phase 1)*",32,Tuath Housing Association,,,,,,Q2-2021
1257,CALF Turnkey,South Dublin,"Citywest Village House, Citywest Village, D24 (Phase 1)*",36,Fold Housing Association Ireland Ltd,,,,,,Q1-2022
1258,CALF Turnkey,South Dublin,"Cloverhill Lodge, Cloverhill Rd, Clondalkin, D22 (Phase 1)*",40,Oaklee Housing,,,,,Q2-2021,
1259,CALF Turnkey,South Dublin,"Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 2)*",9,Clúid Housing,,,,,,Q1-2021
1260,CALF Construction,South Dublin,"Fernwood Green and Maplewood Heights, Tallaght, Dublin  (Phase 1)",40,Clúid Housing,,,,,Q3-2020,
1261,CALF Turnkey,South Dublin,"Finians Way, Newcastle South, Newcastle, Co. Dublin (Phase 1)*",2,Clanmil Housing Association Ireland,,,,,,Q4-2021
1262,CALF Turnkey,South Dublin,"Finnstown, Lucan, Co. Dublin (Phase 1)",32,Respond,,,,,,Q3-2021
1263,CALF Turnkey,South Dublin,"Finnstown, Lucan, Co. Dublin (Phase 2)",38,Respond,,,,,,Q3-2021
1264,CALF Turnkey,South Dublin,"Finnstown, Lucan, Co. Dublin (Phase 3)*",24,Respond,,,,,,Q4-2021
1265,CALF Turnkey,South Dublin,"Graydon, Newcastle, Co. Dublin (Phase 1)*",8,Tuath Housing Association,,,,,,Q4-2021
1266,CALF Turnkey,South Dublin,"Hallwell, Tubber Lane, Adamstown, Co Dublin (Phase 1)*",45,The Iveagh Trust,,,,,,Q4-2021
1267,CALF Turnkey,South Dublin,"Kingswood, Old Ballymount Road, Tallaght, Dublin 24 (Phase 1)*",24,Respond,,,,,,Q4-2021
1268,CALF Turnkey,South Dublin,"Mountain Gate, Kiltipper Rd., Dublin 24 (Phase 1)*",22,Co - Operative Housing Ireland Society Limited,,,,Q3-2021,,
1269,CALF Construction,South Dublin,"Old Lucan Road, Palmerstown, Dublin 20 (Phase 1)",4,Tuath Housing Association,,,,Q3-2021,,
1270,CALF Turnkey,South Dublin,"Phase 2, Aylmer Drive, Aylmer Heath, Newcastle, Co. Dublin (Phase 1)*",17,Respond,,,,,,Q2-2021
1271,CALF Turnkey,South Dublin,"Sallypark, Clondalkin, Dublin 22 (Phase 1)*",85,Clúid Housing,,,,,Q4-2020,
1272,CALF Turnkey,South Dublin,"San Guida, New Road, Clondalkin, Dublin 22 (Phase 1)*",21,Clúid Housing,,,,,Q3-2021,
1273,CALF Turnkey,South Dublin,"Scholarstown Road, Rathfarnham, Dublin 16


 (Phase 1)*",14,Circle Voluntary Housing Association Ltd,,,,,,Q1-2022
1274,CALF Turnkey,South Dublin,"Somerton Gate, Adamstown, Lucan, Co. Dublin (Phase 1)*",36,Clúid Housing,,,,,Q2-2021,
1275,CALF Construction,South Dublin,"St. Catherine’s, Knockmore Avenue, Killinarden, Tallaght, Dublin 24 (Phase 1)",2,Sophia Housing Association Ltd,,,,,,Q2-2022
1276,CALF Construction,South Dublin,"The Weir, Whitestown Way, Tallaght, Dublin 24 (Phase 1)",81,Clúid Housing,,,,,Q2-2021,
1277,CALF Turnkey,South Dublin,"Willowview, Ballyboden Road, Rathfarnham, Dublin 14 (Phase 1)*",12,Clúid Housing,,,,,,Q2-2021
1278,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",14,*N/A,,,,,,Q2-2022
1279,SHIP CONSTRUCTION TURNKEY,Tipperary,"Prior Park, Clonmel",18,*N/A,,,,,Q3-2020,
1280,SHIP CONSTRUCTION TURNKEY,Tipperary,"Ma Charoin, Manna South, Templemore",13,*N/A,,,,,Q1-2021,
1281,SHIP CONSTRUCTION TURNKEY,Tipperary,"Prior Park, Clonmel",23,*N/A,,,,,Q3-2020,
1282,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glenconnor Road, Clonmel",10,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
1283,SHIP CONSTRUCTION TURNKEY,Tipperary,"Rosanna Close, Tipperary Town",1,*N/A,,,,,Q3-2020,
1284,SHIP CONSTRUCTION TURNKEY,Tipperary,"Hazel Close, Carrick on Suir",14,*N/A,,,,,,Q4-2021
1285,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glenconnor Road, Clonmel",2,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1286,SHIP CONSTRUCTION TURNKEY,Tipperary,"Cois Abhainn, Mullinahone",3,*N/A,,,,,,Q4-2021
1287,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glentara, Roscrea",2,*N/A,,,,,,Q4-2021
1288,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glenconnor Road, Clonmel",11,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
1289,SHIP CONSTRUCTION TURNKEY,Tipperary,"Carrick Beg, Carrick on Suir",22,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1290,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glenconnor Road, Clonmel ",2,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1291,SHIP CONSTRUCTION TURNKEY,Tipperary,"Clogheen Road, Ardfinnan",13,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1292,SHIP CONSTRUCTION TURNKEY,Tipperary,"Glenoir, Cullen",7,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1293,SHIP CONSTRUCTION TURNKEY,Tipperary,"Ard na Sidhe, Clonmel",9,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1294,SHIP CONSTRUCTION TURNKEY,Tipperary,"Springfort Meadows, Nenagh",17,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1295,SHIP CONSTRUCTION TURNKEY,Tipperary,"Kilsheelan, Clonmel",3,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1296,SHIP CONSTRUCTION RENEWAL,Tipperary,"Ard na Greine, Clonmel",2,*N/A,,,,,Q4-2020,
1297,SHIP CONSTRUCTION RENEWAL,Tipperary,"Boherclough Street, Cashel",9,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,
1298,SHIP CONSTRUCTION,Tipperary,Knockanrawley,14,*N/A,,,,,,Q1-2021
1299,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",14,*N/A,,,,,,Q4-2021
1300,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",10,*N/A,,,,,,Q4-2021
1301,SHIP CONSTRUCTION,Tipperary,Templetouhy,10,*N/A,,,,,,Q4-2021
1302,SHIP CONSTRUCTION,Tipperary,"Abbey Street, Cahir",10,*N/A,,,,,Q3-2020,
1303,SHIP CONSTRUCTION,Tipperary,Borrisokane,14,*N/A,,,,,,Q4-2021
1304,SHIP CONSTRUCTION,Tipperary,"Portroe, Nenagh",14,*N/A,,,,,Q4-2021,
1305,SHIP CONSTRUCTION,Tipperary,Cloughjordan,2,*N/A,,,,,,Q2-2021
1306,SHIP CONSTRUCTION,Tipperary,"Mitchel St., Thurles",1,*N/A,,,,,,Q4-2021
1307,SHIP CONSTRUCTION,Tipperary,"Cormack Drive, Nenagh",12,*N/A,,,,,Q3-2020,
1308,SHIP CONSTRUCTION,Tipperary,Bansha,14,*N/A,,,,,Q3-2021,
1309,SHIP CONSTRUCTION,Tipperary,"Ned Hayes Drive, Twomileborris, Thurles",22,*N/A,,,,,Q3-2021,
1310,SHIP CONSTRUCTION,Tipperary,Donohill,8,*N/A,,,,,Q3-2021,
1311,SHIP CONSTRUCTION,Tipperary,Mullinahone,10,*N/A,,,,,Q1-2021,
1312,SHIP CONSTRUCTION,Tipperary,Ballyclerihan,14,*N/A,,,,,Q3-2021,
1313,SHIP CONSTRUCTION,Tipperary,"Ard Alainn, Moyne",9,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1314,SHIP CONSTRUCTION,Tipperary,Ardcroney,4,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1315,SHIP CONSTRUCTION,Tipperary,"Comeragh Drive, Clonmel",2,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1316,SHIP CONSTRUCTION,Tipperary,"Church Street, Templemore",2,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1317,SHIP CONSTRUCTION,Tipperary,"Woodview Close, Castle Crescent,  Nenagh",10,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1318,SHIP CONSTRUCTION,Tipperary,Grove Street. Roscrea,6,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1319,SHIP CONSTRUCTION,Tipperary,"William Street, Clonmel",4,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,
1320,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",26,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
1321,SHIP CONSTRUCTION,Tipperary,Knockanrawley,14,*N/A,,,,,,Q2-2021
1322,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",1,*N/A,,,,,,Q1-2022
1323,SHIP CONSTRUCTION,Tipperary,"Mountain View, Cahir",23,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
1324,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",20,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,
1325,SHIP CONSTRUCTION,Tipperary,"William Street, Nenagh",7,*N/A,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
1326,SHIP CONSTRUCTION,Tipperary,Borrisokane,1,*N/A,,,,,,Q1-2022
1327,SHIP CONSTRUCTION,Tipperary,"Ashbury, Roscrea",10,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1328,SHIP CONSTRUCTION,Tipperary,"Fr. Mathew Street, Tipperary Town",4,*N/A,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1329,CAS CONSTRUCTION TURNKEY,Tipperary,"Kichham Street, Carrick en Suir",12,Túath Housing Association Ltd,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,
1330,CAS CONSTRUCTION RENEWAL,Tipperary,"7 Stradavoher Court, Thurles",2,Arlington Novas Ireland Ltd,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1331,CAS CONSTRUCTION RENEWAL,Tipperary,1 and 1A Limerick Road,2,Thurles Lions Trust Housing Assoc.,"Stage 1 approved Q2-2022, outline design and costs being prepared.",,,,,
1332,CAS CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",9,Cluid Housing Association,,,,,Q2-2021,
1333,CAS CONSTRUCTION,Tipperary,"Stanwix House, Kickham Street, Thurles",19,Thurles Lions Trust Housing Assoc.,,,,,Q2-2021,
1334,CAS CONSTRUCTION,Tipperary,"Main Street, Templemore",24,Templemore Voluntary Housing Association,,"Stage 2 approved Q2-2022, full design/tender being prepared.",,,,
1335,CAS CONSTRUCTION,Tipperary,"Deerpark Road, Ashwell's Lot",2,SPADE – St. Patrick’s Dwellings for the Elderly,,,,,,Q2-2022
1336,CAS CONSTRUCTION,Tipperary,"Gort an Oir, Fethard",7,Belmont Park Housing Association Ltd,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1337,CALF Turnkey,Tipperary,"Abbey Court Lodges, Old Dublin Road, Nenagh, Co Tipperary (Phase 1)",12,Focus Housing Association CLG,,,,,,Q1-2022
1338,CALF Turnkey,Tipperary,"Abbey Court Lodges, Old Dublin Road, Nenagh, Co Tipperary (Phase 2)",4,Focus Housing Association CLG,,,,,,Q2-2022
1339,CALF Turnkey,Tipperary,"Ballygraigue Court, Ballygraigue Road, Nenagh (Phase 1)",5,Clúid Housing,,,,,,Q2-2022
1340,CALF Turnkey,Tipperary,"Coopers Lot, Cashel, Co. Tipperary (Phase 1)*",44,Respond,,,,Q1-2022,,
1341,CALF Turnkey,Tipperary,"Farranlahassery, Cahir, Co. Tipperary (Phase 1)*",48,Respond,,,,Q2-2022,,
1342,CALF Turnkey,Tipperary,"Wallers Lot, East Cashel, Co. Tipperary (Phase 1)*",40,Tuath Housing Association,,,,,Q4-2021,
1343,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount William, Williamstown, Waterford City",13,*N/A,,,,,,Q1-2021
1344,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount William, Williamstown, Waterford City",10,*N/A,,,,,,Q2-2021
1345,SHIP CONSTRUCTION TURNKEY,Waterford,"Mount William, Williamstown, Waterford City",23,*N/A,,,,,,Q2-2021
1346,SHIP CONSTRUCTION TURNKEY,Waterford,"The Courtyard, Morrissons Road, Waterford City",8,*N/A,,,,,,Q2-2021
1347,SHIP CONSTRUCTION TURNKEY,Waterford,"Bounds Court, Airport Road, Waterford",15,N/A,,,,,,Q1-2022
1348,SHIP CONSTRUCTION TURNKEY,Waterford,"Brideview Close, Tallow; Main St., Aglish; Bye Lane, Kilmacthomas",6,N/A,,,,,,Q4-2021
1349,SHIP CONSTRUCTION TURNKEY,Waterford,"Brideview Close, Tallow; Main St., Aglish; Bye Lane, Kilmacthomas",3,*N/A,,,,,Q1-2021,
1350,SHIP CONSTRUCTION TURNKEY,Waterford,"Radharc na Siuire, Knockboy",3,*N/A,,,,,,Q1-2022
1351,SHIP CONSTRUCTION TURNKEY,Waterford,"Radharc na Siuire, Knockboy",4,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1352,SHIP CONSTRUCTION RENEWAL,Waterford,"Clarendon Court, Penrose Lane, Waterford",24,*N/A,"Stage 1 approved Q1-2018, outline design and costs being prepared.",,,,,
1353,SHIP CONSTRUCTION RENEWAL,Waterford,"Apt 1 and Apt 2 Rivercourt, Grattan Quay, Waterford City",2,*N/A,,,,"Stage 4 approved Q1-2021, the scheme is fully approved.",,
1354,SHIP CONSTRUCTION RENEWAL,Waterford,"Meeting House Lane, Waterford City",6,N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,
1355,SHIP CONSTRUCTION RENEWAL,Waterford,"29 The Glen, Waterford City",4,*N/A,,,,,Q2-2022,
1356,SHIP CONSTRUCTION RENEWAL,Waterford,"22 and 23 Thomas Hill, Waterford",3,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1357,SHIP CONSTRUCTION RENEWAL,Waterford,"Apts 1-6, The Old Convent, Kilmacthomas",6,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1358,SHIP CONSTRUCTION RENEWAL,Waterford,"70 and 71 O'Connell Street, Waterford",5,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1359,SHIP CONSTRUCTION DESIGN BUILD,Waterford,"Ballygunner, Waterford City",49,*N/A,,,,"Stage 4 approved Q2-2022, the scheme is fully approved.",,
1360,SHIP CONSTRUCTION DESIGN BUILD,Waterford,"Ballynaneashagh, Waterford City",22,*N/A,,"Stage 2 approved Q2-2020, full design/tender being prepared.",,,,
1361,SHIP CONSTRUCTION,Waterford,"An Garrán, Crobally Upper, Tramore",50,*N/A,,,,"Stage 4 approved Q1-2022, the scheme is fully approved.",,
1362,SHIP CONSTRUCTION,Waterford,"Larchville, Waterford City",5,*N/A,,,,,,Q2-2021
1363,SHIP CONSTRUCTION,Waterford,"Doyles Street, Waterford City",4,*N/A,,,,,,Q4-2021
1364,SHIP CONSTRUCTION,Waterford,"The Glen, Bridge St, Waterford",17,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
1365,SHIP CONSTRUCTION,Waterford,"Summerland Square, Waterford",12,*N/A,,,"Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.",,,
1366,SHIP CONSTRUCTION,Waterford,"Graigueshoneen, Kilmacthomas",16,*N/A,,,,,,Q1-2022
1367,SHIP CONSTRUCTION,Waterford,"Mount Esker, Ballytruckle Road, Waterford City",14,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,
1368,SHIP CONSTRUCTION,Waterford,"Newgate Street, Waterford City",36,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,
1369,SHIP CONSTRUCTION,Waterford,"Fountain Street, Ferrybank, Waterford",14,*N/A,,,"Stage 3 approved Q1-2022, the scheme is now approved to proceed to tender.",,,
1370,SHIP CONSTRUCTION,Waterford,"50-53 Ballytruckle Road, Waterford",11,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,
1371,CAS CONSTRUCTION,Waterford,"Wadding Manor, Ferrybank",10,Respond,,,,,,Q2-2021
1372,CAS CONSTRUCTION,Waterford,"Ballycarnane, Tramore",18,Oaklee Housing Trust,"Stage 1 approved Q1-2022, outline design and costs being prepared.",,,,,
1373,CALF Turnkey,Waterford,"Mount Neil, Carrickphierish, Gracedieu, Co. Waterford (Phase 1)",26,Circle Voluntary Housing Association Ltd,,,,,,Q4-2021
1374,CALF Turnkey,Waterford,"Mount Neil, Carrickphierish, Gracedieu, Co. Waterford (Phase 2)",31,Circle Voluntary Housing Association Ltd,,,,,,Q2-2022
1375,CALF Turnkey,Waterford,"Slí na Coille, Tramore, Co Waterford (Phase 1)*",27,Clúid Housing,,,,,Q1-2021,
1376,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Waterford,"Slievekeale, Waterford City (Phase 1)",24,*N/A,,,,,,Q2-2021
1377,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Waterford,"Slievekeale, Waterford City (Phase 2)",34,*N/A,,,,,,Q3-2021
1378,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",55,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,
